Toronto,P1,P2,P3
,Scamurra,Turnbull,Compher
,Connors,Woods,Daniel
,,Kluge,
,Harmon,Fast,
,Munroe,Flanagan,
,Carter,Kjellbin,
,,,
29-Apr,Watts,Miller,Compher
,Maltais,Nurse,Spooner
,Scamurra,Turnbull,Daniel
,Connors,Gosling,Woods
,,Kluge,
,Harmon,Fast,
,Munroe,Flanagan,
,Carter,Kjellbin,
,,,
03-May,Watts,Miller,Compher
,Maltais,Nurse,Spooner
,Scamurra,Turnbull,Daniel
,Connors,Gosling,Woods
,,Kluge,
,Harmon,Fast,
,Munroe,Flanagan,
,Carter,Kjellbin,
