Boston,P1,P2,P3
12:00 AM,Saulnier,Tapani,Knight
,Bilka,Maloney,Shirley
,Schafzahl,Brandt,Gabel
,Adzija,Rattray,Babstock
,Brown,Morin,
,Greco,Keller,
,Digirolamo,Pejsova,
,Hartmetz,,
,,,
12:00 AM,Saulnier,Tapani,Knight
,Bilka,Maloney,Shirley
,Schafzahl,Brandt,Gabel
,Adzija,Rattray,Babstock
,Brown,Morin,
,Greco,Keller,
,Digirolamo,Pejsova,
,Bard,,
,,,
12:00 AM,Saulnier,Tapani,Shirley
,Bilka,Maloney,Knight
,Schafzahl,Brandt,Gabel
,Adzija,Rattray,Babstock
,Brown,Morin,
,Greco,Keller,
,Digirolamo,Pejsova,
,Bard,,
