Montreal,P1,P2,P3
,Dalton,Dubois,Willoughby
,Greig,,
,Tabin,Barnes,
,Keopple,Ambrose,
,Wilgren,Boulier,
,,,
12:00 AM,O'Neill,Poulin,Stacey
,Gardiner ,Ljungblom,Murphy
,Dalton,Grant-Mentis,Boreen
,Dubois,DeGeorge,Willoughby
,Greig,,
,Tabin,Ambrose,
,Wilgren,Barnes,
,Keopple,Boulier ,
,,,
12:00 AM,Gardiner,Poulin,Stacey
,DeGeorge,Ljungblom,Murphy
,Dalton,Grant-Mentis,Boreen
,Dubois,O'Neill,Willoughby
,Greig,,
,Tabin,Ambrose,
,Wilgren,Barnes,
,Keopple,Boulier,
,,,
12:00 AM,Gardiner,Poulin,Stacey
,Murphy,Ljungblom,Boreen
,Dubois,O'Neill,Willoughby
,Grant-Mentis,Labelle,Dalton
,Greig,,
,Wilgren,Barnes,
,Ambrose,Boulier,
,Keopple,Laskova,
,,,
12:00 AM,Gardiner,Poulin,Stacey
,Murphy,Ljungblom,Boreen
,Dubois,O'Neill,Willoughby
,Grant-Mentis,Labelle,Dalton
,Wilgren,Barnes,
,Boulier,Nadeau,
,Keopple,Laskova,
,,,
12:00 AM,Gardiner,Poulin,Stacey
,Murphy,Ljungblom,Boreen
,Dubois,O'Neill,Willoughby
,Grant-Mentis,Labelle,Dalton
,Greig,,
,Wilgren,Barnes,
,Tabin,Ambrose,
,Boulier,Nadeau,
